Date,BR,light,photoperiod,temp
Dec-83,0.0041876,23.75928571,0.335364583,6.457142857
Jan-84,0.004242403,41.91642857,0.355422454,2.401428571
Feb-84,0.004043855,40.80714286,0.417303241,4.498571429
Mar-84,0.00440458,84.98428571,0.495943287,4.570714286
Apr-84,0.004137178,160.4142857,0.578119213,7.832142857
May-84,0.004484925,216.845,0.648668981,8.765714286
Jun-84,0.004416235,132.1714286,0.685190972,13.47857143
Jul-84,0.004596557,169.0607143,0.667037037,15.12714286
Aug-84,0.004569104,123.5792857,0.60505787,15.48642857
Sep-84,0.004533264,100.05,0.526215278,11.91357143
Oct-84,0.004524999,94.66071429,0.4446875,9.092142857
Nov-84,0.004297027,55.15714286,0.372563657,5.348571429
Dec-84,0.004141226,22.69642857,0.335364583,4.854285714
Jan-85,0.004476557,61.20285714,0.355422454,0.534285714
Feb-85,0.004061935,58.94,0.417303241,3.651428571
Mar-85,0.004586206,76.19357143,0.495943287,4.617142857
Apr-85,0.004358316,130.2857143,0.578119213,8.111428571
May-85,0.004708703,147.1835714,0.648668981,9.245
Jun-85,0.004455936,149.8928571,0.685190972,11.39857143
Jul-85,0.004732717,97.71642857,0.667037037,14.29857143
Aug-85,0.004616901,93.33214286,0.60505787,12.65
Sep-85,0.004606229,84.6,0.526215278,13.35857143
Oct-85,0.00451479,78.71785714,0.4446875,10.07214286
Nov-85,0.004196491,66.36428571,0.372563657,3.735714286
Dec-85,0.004102627,38.52857143,0.335364583,5.439285714
Jan-86,0.004336358,34.45428571,0.355422454,3.262142857
Feb-86,0.004012482,74.14,0.417303241,0.446428571
Mar-86,0.004585451,109.9171429,0.495943287,5.002857143
Apr-86,0.004461188,150.0857143,0.578119213,4.818571429
May-86,0.004704621,144.7257143,0.648668981,9.509285714
Jun-86,0.004501531,134.7642857,0.685190972,13.32357143
Jul-86,0.004567948,74.245,0.667037037,14.09214286
Aug-86,0.004609815,99.17785714,0.60505787,11.51642857
Sep-86,0.00454848,147.9,0.526215278,10.68571429
Oct-86,0.004486664,94.55,0.4446875,9.560714286
Nov-86,0.004100031,64.2,0.372563657,6.387142857
Dec-86,0.004355164,34.27714286,0.335364583,5
